customer_id,first_name,last_name,date_of_birth,gender,email_domain,area_code,exchange,subscriber,street_number,street_name,street_type,city,state,zip_code,annual_income,employment_status,employment_length_years,housing_status,customer_since,social_data_share,linked_in_url,twitter_url,facebook_url,youtube_url,youtube_monetized
CUST00000,Ruth,Griffiths,1978-02-17,Other,yahoo.com,21819,7940,4078,6,Lynn hill,village,Melissaborough,Down,B3 1JE,50119.82,Employed,10,Own,2021-11-19,1,https://lee.co.uk/,,https://www.thomson.info/,,
CUST00001,Jessica,Dixon,2002-12-20,Male,outlook.com,50305,8849,9166,784,Gail stravenue,crescent,Jemmamouth,Greater London,KY2 0LW,45222.79,Student,10,Own,2018-06-16,0,http://buckley.com/,http://brown-murray.com/,http://www.shaw.com/,,1.0
CUST00002,Danielle,Sharp,1995-09-01,Female,yahoo.com,78248,1509,4738,9,Smith mountains,valley,Batesville,South Lanarkshire,HU66 0EB,25175.68,Employed,7,Own,2022-04-07,1,https://www.bates.info/,http://white.com/,https://www.riley.com/,,0.0
CUST00003,Colin,Bennett,1975-07-03,Female,yahoo.com,77360,9805,1939,091,Moss port,pike,Elliotborough,Stirling,HD3M 2NT,45773.44,Employed,33,Own,2020-10-17,1,http://www.johnson-moore.com/,http://www.pritchard.com/,,https://williams.com/,
CUST00004,Molly,Robinson,2003-12-02,Other,hotmail.co.uk,84124,0164,8059,262,Mohammad lakes,underpass,West Rhysbury,Stirling,N8 9FJ,31405.82,Employed,18,Council Housing,2018-03-07,1,http://gardner.biz/,http://greenwood.biz/,http://ryan.com/,,1.0
CUST00005,Stewart,Perry,1974-11-26,Other,yahoo.com,36541,9655,5615,514,King islands,lodge,Andreaberg,North Yorkshire,SG62 6XA,20171.56,Employed,6,Rent,2020-08-02,0,https://www.thornton-jenkins.com/,,https://davies-lewis.com/,http://adams.com/,
CUST00006,Ellie,Kemp,1972-12-19,Male,yahoo.com,03791,8708,7277,34,Johnson harbor,mill,Lake Mitchellbury,Surrey,HD8 2FJ,61416.69,Self-Employed,38,Council Housing,2021-12-07,0,http://www.allan.net/,,,,1.0
CUST00007,Natalie,Sanderson,1973-06-28,Male,yahoo.co.uk,90967,0656,0465,7,Haynes light,harbors,Smithland,City of Edinburgh,B5 1BA,10253.86,Student,35,Council Housing,2019-08-16,1,http://www.wyatt.org/,,,,1.0
CUST00008,Charlie,Hall,1976-11-07,Male,hotmail.com,99124,1905,2849,776,Stanley gardens,village,West Barbarabury,Argyll and Bute,S5A 5GU,19572.81,Unemployed,19,Council Housing,2019-01-10,1,https://white-anderson.com/,http://www.smith.info/,,,0.0
CUST00009,Suzanne,Reed,1991-10-25,Female,outlook.com,70143,4443,3435,4,Lindsey place,crossroad,Jordanton,Fife,SN2 1AY,15609.84,Self-Employed,27,Own,2020-04-02,0,https://cook-arnold.com/,,https://www.matthews.org/,http://www.barker.com/,
CUST00010,Frederick,Iqbal,1987-09-27,Female,hotmail.co.uk,86774,2812,9361,324,Steven circle,expressway,Marilynshire,Warwickshire,CM74 4WX,38286.87,Student,26,Own,2023-10-26,1,https://www.thomas.com/,http://www.hunt.org/,http://thomas.co.uk/,https://turner.co.uk/,1.0
CUST00011,Abigail,Morgan,1991-05-27,Male,hotmail.com,55125,0876,1093,248,Lynn lodge,course,Port Geoffrey,Argyll and Bute,G7 8LS,26632.0,Self-Employed,7,Rent,2023-08-17,0,https://www.fisher-cooper.org/,http://www.clements-davis.com/,https://www.wood-smart.org/,https://www.powell-ward.net/,1.0
CUST00012,Paige,Patel,1981-04-24,Male,yahoo.com,96360,0262,1343,161,Louise expressway,square,Matthewton,Wiltshire,M5 6FJ,30150.11,Unemployed,8,Council Housing,2024-06-14,1,https://www.jarvis.biz/,,http://wilkins.com/,http://davies-steele.info/,
